KFZID,BremseVo,BremseHi,Motorart,Motorbauart,Aufladung,Zylinder,Ventile,Hubraum,LeistungPS,LeistungMax,Drehmoment,Antriebsart,Getriebe,Lang,Breit,Hoch,Gesamtgewicht,Grundpreis,TestID
228449,Scheibe,Scheibe,Otto,Reihe,Turbo,4.0,4.0,1596 ccm,150,5700 U/min,240 Nm,Front,Schaltgetriebe,4520 mm,1828 mm,1684 mm,2200 kg,26850,5003
238161,Scheibe,Scheibe,Diesel,Reihe,Turbo,4.0,4.0,1968 ccm,177,4200 U/min,380 Nm,Front,Automat. Schaltgetriebe (Doppelkupplung),4854 mm,1904 mm,1720 mm,2380 kg,38005,5004
230349,Scheibe,Scheibe,Otto,Boxer,,6.0,4.0,3436 ccm,350,7400 U/min,390 Nm,Heck,Automat. Schaltgetriebe (Doppelkupplung),4491 mm,1808 mm,1299 mm,1870 kg,106661,5005
236314,Scheibe,Scheibe,Diesel,Reihe,Turbo,4.0,4.0,1968 ccm,150,3500 U/min,320 Nm,Front,Schaltgetriebe,4562 mm,1799 mm,1515 mm,1970 kg,29300,5011
229622,Scheibe,Scheibe,Otto,Reihe,Turbo,4.0,4.0,1364 ccm,120,4200 U/min,200 Nm,Front,Schaltgetriebe,4658 mm,1884 mm,1685 mm,2295 kg,25855,5012
237995,Scheibe,Scheibe,Diesel,Reihe,Turbo,4.0,4.0,1995 ccm,150,4000 U/min,383 Nm,Front,Schaltgetriebe,4690 mm,1880 mm,1685 mm,2510 kg,37950,5013
237104,Scheibe,Scheibe,Diesel,Reihe,Turbo,4.0,4.0,1598 ccm,110,3200 U/min,250 Nm,Front,Schaltgetriebe,4255 mm,1799 mm,1491 mm,1740 kg,22600,5019
235870,Scheibe,Scheibe,Diesel,Reihe,Turbo,4.0,4.0,1598 ccm,130,4000 U/min,320 Nm,Front,Schaltgetriebe,4573 mm,1845 mm,1675 mm,2249 kg,28900,5020
235291,Scheibe,Scheibe,Diesel,Reihe,Turbo,4.0,4.0,1248 ccm,75,4000 U/min,190 Nm,Allrad,Schaltgetriebe,3686 mm,1672 mm,1605 mm,1595 kg,17990,5021
237734,Scheibe,Scheibe,Elektro,Asynchronm,,,,,422,,600 Nm,Heck,Automatikgetriebe,4970 mm,1964 mm,1445 mm,2670 kg,87600,5022
